Country ISO3;Country Name;Indicator Id;Indicator;Subindicator Type;2015;2017
ALB;Albania;3537;WEF Safety and security pillar, 1-7 (best);Rank;70;
ALB;Albania;3538;WEF Health and hygiene, 1-7 (best);Value;5.22086207;5.224940501
ALB;Albania;3539;WEF Health and hygiene, 1-7 (best);Rank;72;73
ALB;Albania;3540;WEF Human resources and labour market, 1-7 (best);Value;4.675535316;4.904834823
ALB;Albania;3541;WEF Human resources and labour market, 1-7 (best);Rank;56;39
ALB;Albania;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;4.069559529;4.142587507
ALB;Albania;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;73;82
ALB;Albania;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.025677152;4.560222466
ALB;Albania;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;105;74
ALB;Albania;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;2.339152295;2.399152295
ALB;Albania;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;106;107
ALB;Albania;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;4.376511671;4.70475534
ALB;Albania;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;93;83
ALB;Albania;3554;WEF Environmental sustainability, 1-7 (best);Value;3.601991147;4.107265294
ALB;Albania;3555;WEF Environmental sustainability, 1-7 (best);Rank;109;72
ALB;Albania;3556;WEF Air transport infrastructure, 1-7 (best);Value;2.158819974;2.000560092
ALB;Albania;3557;WEF Air transport infrastructure, 1-7 (best);Rank;97;109
ALB;Albania;3558;WEF Ground and port infrastructure, 1-7 (best);Value;3.014481607;3.057006589
ALB;Albania;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;95;77
ALB;Albania;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;3.941139501;3.914346405
ALB;Albania;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;79;77
ALB;Albania;3562;WEF Natural resources pillar, 1-7 (best);Value;2.034031784;2.188789737
ALB;Albania;3563;WEF Natural resources pillar, 1-7 (best);Rank;128;123
ALB;Albania;3564;WEF Cultural resources and business travel, 1-7 (best);Value;1.141228098;1.139362383
ALB;Albania;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;127;131
ARE;United Arab Emirates;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;4.430681198;4.491811081
ARE;United Arab Emirates;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;24;29
ARE;United Arab Emirates;3526;WEF Enabling environment subindex, 1-7 (best);Value;5.736243374;5.838690651
ARE;United Arab Emirates;3527;WEF Enabling environment subindex, 1-7 (best);Rank;16;14
ARE;United Arab Emirates;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;4.269708564;4.383414289
ARE;United Arab Emirates;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;52;54
ARE;United Arab Emirates;3530;WEF Infrastructure subindex, 1-7 (best);Value;5.478373554;5.369108977
ARE;United Arab Emirates;3531;WEF Infrastructure subindex, 1-7 (best);Rank;8;10
ARE;United Arab Emirates;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;2.238399302;2.376030406
ARE;United Arab Emirates;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;75;74
ARE;United Arab Emirates;3534;WEF Business environment, 1-7 (best);Value;5.895807766;5.854123624
ARE;United Arab Emirates;3535;WEF Business environment, 1-7 (best);Rank;4;5
ARE;United Arab Emirates;3536;WEF Safety and security pillar, 1-7 (best);Value;6.59756659;
ARE;United Arab Emirates;3537;WEF Safety and security pillar, 1-7 (best);Rank;3;
ARE;United Arab Emirates;3538;WEF Health and hygiene, 1-7 (best);Value;5.279627918;5.440144
ARE;United Arab Emirates;3539;WEF Health and hygiene, 1-7 (best);Rank;69;63
ARE;United Arab Emirates;3540;WEF Human resources and labour market, 1-7 (best);Value;5.149591815;5.213845548
ARE;United Arab Emirates;3541;WEF Human resources and labour market, 1-7 (best);Rank;22;23
ARE;United Arab Emirates;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;5.758622781;6.087000741
ARE;United Arab Emirates;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;16;15
ARE;United Arab Emirates;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.969175254;5.068778883
ARE;United Arab Emirates;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;39;31
ARE;United Arab Emirates;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;2.768958658;2.963244373
ARE;United Arab Emirates;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;85;75
ARE;United Arab Emirates;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;4.946382573;5.023092497
ARE;United Arab Emirates;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;45;56
ARE;United Arab Emirates;3554;WEF Environmental sustainability, 1-7 (best);Value;4.394317771;4.478541404
ARE;United Arab Emirates;3555;WEF Environmental sustainability, 1-7 (best);Rank;41;40
ARE;United Arab Emirates;3556;WEF Air transport infrastructure, 1-7 (best);Value;5.91478024;5.844915154
ARE;United Arab Emirates;3557;WEF Air transport infrastructure, 1-7 (best);Rank;3;3
ARE;United Arab Emirates;3558;WEF Ground and port infrastructure, 1-7 (best);Value;5.056222058;4.892253168
ARE;United Arab Emirates;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;20;19
ARE;United Arab Emirates;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;5.464118363;5.370158608
ARE;United Arab Emirates;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;26;27
ARE;United Arab Emirates;3562;WEF Natural resources pillar, 1-7 (best);Value;2.507865979;2.568673295
ARE;United Arab Emirates;3563;WEF Natural resources pillar, 1-7 (best);Rank;95;91
ARE;United Arab Emirates;3564;WEF Cultural resources and business travel, 1-7 (best);Value;1.968932625;2.183387516
ARE;United Arab Emirates;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;53;50
ARG;Argentina;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;3.899563703;4.050080804
ARG;Argentina;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;57;50
ARG;Argentina;3526;WEF Enabling environment subindex, 1-7 (best);Value;4.44976289;4.742957823
ARG;Argentina;3527;WEF Enabling environment subindex, 1-7 (best);Rank;81;69
ARG;Argentina;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;3.650076277;3.722420227
ARG;Argentina;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;119;116
ARG;Argentina;3530;WEF Infrastructure subindex, 1-7 (best);Value;3.271834438;3.285439021
ARG;Argentina;3531;WEF Infrastructure subindex, 1-7 (best);Rank;79;69
ARG;Argentina;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;4.226581208;4.449506145
ARG;Argentina;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;14;13
ARG;Argentina;3534;WEF Business environment, 1-7 (best);Value;2.669672593;3.141388723
ARG;Argentina;3535;WEF Business environment, 1-7 (best);Rank;140;132
ARG;Argentina;3536;WEF Safety and security pillar, 1-7 (best);Value;5.025382423;
ARG;Argentina;3537;WEF Safety and security pillar, 1-7 (best);Rank;88;
ARG;Argentina;3538;WEF Health and hygiene, 1-7 (best);Value;6.197306334;6.383788555
ARG;Argentina;3539;WEF Health and hygiene, 1-7 (best);Rank;26;18
ARG;Argentina;3540;WEF Human resources and labour market, 1-7 (best);Value;4.199799661;4.5762186
ARG;Argentina;3541;WEF Human resources and labour market, 1-7 (best);Rank;99;69
ARG;Argentina;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;4.156653438;4.650002388
ARG;Argentina;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;71;61
ARG;Argentina;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.543719014;4.613891563
ARG;Argentina;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;70;66
ARG;Argentina;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;2.77033701;2.77033701
ARG;Argentina;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;84;89
ARG;Argentina;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;3.967621113;4.061744628
ARG;Argentina;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;112;119
ARG;Argentina;3554;WEF Environmental sustainability, 1-7 (best);Value;3.318627973;3.443707706
ARG;Argentina;3555;WEF Environmental sustainability, 1-7 (best);Rank;128;125
ARG;Argentina;3556;WEF Air transport infrastructure, 1-7 (best);Value;2.554485235;2.723817429
ARG;Argentina;3557;WEF Air transport infrastructure, 1-7 (best);Rank;75;66
ARG;Argentina;3558;WEF Ground and port infrastructure, 1-7 (best);Value;2.625442276;2.59790879
ARG;Argentina;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;114;100
ARG;Argentina;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;4.635575802;4.534590843
ARG;Argentina;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;55;54
ARG;Argentina;3562;WEF Natural resources pillar, 1-7 (best);Value;4.082034439;4.35832136
ARG;Argentina;3563;WEF Natural resources pillar, 1-7 (best);Rank;27;25
ARG;Argentina;3564;WEF Cultural resources and business travel, 1-7 (best);Value;4.371127977;4.540690929
ARG;Argentina;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;14;14
ARM;Armenia;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;3.41591824;3.52521893
ARM;Armenia;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;89;84
ARM;Armenia;3526;WEF Enabling environment subindex, 1-7 (best);Value;4.995172216;5.164481149
ARM;Armenia;3527;WEF Enabling environment subindex, 1-7 (best);Rank;57;51
ARM;Armenia;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;3.896143183;3.933504552
ARM;Armenia;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;95;104
ARM;Armenia;3530;WEF Infrastructure subindex, 1-7 (best);Value;3.13890884;3.002819576
ARM;Armenia;3531;WEF Infrastructure subindex, 1-7 (best);Rank;84;84
ARM;Armenia;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;1.633448722;2.000070442
ARM;Armenia;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;130;107
ARM;Armenia;3534;WEF Business environment, 1-7 (best);Value;4.618800553;4.874302999
ARM;Armenia;3535;WEF Business environment, 1-7 (best);Rank;50;39
ARM;Armenia;3536;WEF Safety and security pillar, 1-7 (best);Value;5.798336416;
ARM;Armenia;3537;WEF Safety and security pillar, 1-7 (best);Rank;38;
ARM;Armenia;3538;WEF Health and hygiene, 1-7 (best);Value;5.91696635;5.910028995
ARM;Armenia;3539;WEF Health and hygiene, 1-7 (best);Rank;48;48
ARM;Armenia;3540;WEF Human resources and labour market, 1-7 (best);Value;4.478695947;4.842166118
ARM;Armenia;3541;WEF Human resources and labour market, 1-7 (best);Rank;71;45
ARM;Armenia;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;4.163061813;4.336481492
ARM;Armenia;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;69;71
ARM;Armenia;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.433823611;4.577551644
ARM;Armenia;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;80;71
ARM;Armenia;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;2.77868332;2.595826178
ARM;Armenia;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;83;95
ARM;Armenia;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;4.578939565;4.786369249
ARM;Armenia;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;77;80
ARM;Armenia;3554;WEF Environmental sustainability, 1-7 (best);Value;3.793126236;3.774271138
ARM;Armenia;3555;WEF Environmental sustainability, 1-7 (best);Rank;97;102
ARM;Armenia;3556;WEF Air transport infrastructure, 1-7 (best);Value;2.261901017;2.202956643
ARM;Armenia;3557;WEF Air transport infrastructure, 1-7 (best);Rank;92;88
ARM;Armenia;3558;WEF Ground and port infrastructure, 1-7 (best);Value;2.979591908;2.862038762
ARM;Armenia;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;97;88
ARM;Armenia;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;4.175233594;3.943463322
ARM;Armenia;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;73;74
ARM;Armenia;3562;WEF Natural resources pillar, 1-7 (best);Value;1.883725266;2.597381453
ARM;Armenia;3563;WEF Natural resources pillar, 1-7 (best);Rank;136;89
ARM;Armenia;3564;WEF Cultural resources and business travel, 1-7 (best);Value;1.383172178;1.402759432
ARM;Armenia;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;99;99
AUS;Australia;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;4.978502911;5.101144781
AUS;Australia;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;7;7
AUS;Australia;3526;WEF Enabling environment subindex, 1-7 (best);Value;5.574597304;5.676614047
AUS;Australia;3527;WEF Enabling environment subindex, 1-7 (best);Rank;22;21
AUS;Australia;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;4.139704927;4.534703039
AUS;Australia;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;70;34
AUS;Australia;3530;WEF Infrastructure subindex, 1-7 (best);Value;4.979290192;5.109645019
AUS;Australia;3531;WEF Infrastructure subindex, 1-7 (best);Rank;20;14
AUS;Australia;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;5.220419221;5.08361702
AUS;Australia;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;7;10
AUS;Australia;3534;WEF Business environment, 1-7 (best);Value;5.040548858;5.050837048
AUS;Australia;3535;WEF Business environment, 1-7 (best);Rank;28;31
AUS;Australia;3536;WEF Safety and security pillar, 1-7 (best);Value;6.236492505;
AUS;Australia;3537;WEF Safety and security pillar, 1-7 (best);Rank;13;
AUS;Australia;3538;WEF Health and hygiene, 1-7 (best);Value;6.140121802;6.140121802
AUS;Australia;3539;WEF Health and hygiene, 1-7 (best);Rank;29;32
AUS;Australia;3540;WEF Human resources and labour market, 1-7 (best);Value;4.722039946;5.125329797
AUS;Australia;3541;WEF Human resources and labour market, 1-7 (best);Rank;49;29
AUS;Australia;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;5.733783412;5.968913322
AUS;Australia;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;17;18
AUS;Australia;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.812230872;5.059045762
AUS;Australia;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;52;32
AUS;Australia;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;4.044503799;4.767360942
AUS;Australia;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;31;2
AUS;Australia;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;3.064363815;3.82212494
AUS;Australia;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;138;128
AUS;Australia;3554;WEF Environmental sustainability, 1-7 (best);Value;4.637721222;4.49028051
AUS;Australia;3555;WEF Environmental sustainability, 1-7 (best);Rank;25;38
AUS;Australia;3556;WEF Air transport infrastructure, 1-7 (best);Value;5.802694818;5.69381816
AUS;Australia;3557;WEF Air transport infrastructure, 1-7 (best);Rank;4;4
AUS;Australia;3558;WEF Ground and port infrastructure, 1-7 (best);Value;3.692738602;3.573813354
AUS;Australia;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;57;53
AUS;Australia;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;5.442437156;6.061303544
AUS;Australia;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;29;8
AUS;Australia;3562;WEF Natural resources pillar, 1-7 (best);Value;5.305911971;5.212771189
AUS;Australia;3563;WEF Natural resources pillar, 1-7 (best);Rank;2;6
AUS;Australia;3564;WEF Cultural resources and business travel, 1-7 (best);Value;5.134926471;4.954462852
AUS;Australia;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;9;11
AUT;Austria;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;4.821132209;4.857391374
AUT;Austria;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;12;12
AUT;Austria;3526;WEF Enabling environment subindex, 1-7 (best);Value;5.8350147;5.862025872
AUT;Austria;3527;WEF Enabling environment subindex, 1-7 (best);Rank;7;11
AUT;Austria;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;4.533541167;4.707232287
AUT;Austria;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;15;10
AUT;Austria;3530;WEF Infrastructure subindex, 1-7 (best);Value;5.419508327;5.270430668
AUT;Austria;3531;WEF Infrastructure subindex, 1-7 (best);Rank;9;12
AUT;Austria;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;3.496464643;3.589876671
AUT;Austria;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;25;24
AUT;Austria;3534;WEF Business environment, 1-7 (best);Value;4.93770844;4.955791665
AUT;Austria;3535;WEF Business environment, 1-7 (best);Rank;31;34
AUT;Austria;3536;WEF Safety and security pillar, 1-7 (best);Value;6.473100987;
AUT;Austria;3537;WEF Safety and security pillar, 1-7 (best);Rank;5;
AUT;Austria;3538;WEF Health and hygiene, 1-7 (best);Value;6.973184358;6.713694798
AUT;Austria;3539;WEF Health and hygiene, 1-7 (best);Rank;1;3
AUT;Austria;3540;WEF Human resources and labour market, 1-7 (best);Value;5.094839327;5.519072921
AUT;Austria;3541;WEF Human resources and labour market, 1-7 (best);Rank;26;9
AUT;Austria;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;5.696240386;5.842465134
AUT;Austria;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;19;22
AUT;Austria;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;5.518151886;5.333003218
AUT;Austria;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;16;19
AUT;Austria;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;3.990096942;4.010096942
AUT;Austria;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;33;39
AUT;Austria;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;3.491662445;3.858186423
AUT;Austria;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;132;125
AUT;Austria;3554;WEF Environmental sustainability, 1-7 (best);Value;5.134253395;5.627642564
AUT;Austria;3555;WEF Environmental sustainability, 1-7 (best);Rank;8;2
AUT;Austria;3556;WEF Air transport infrastructure, 1-7 (best);Value;4.01451715;3.8930468
AUT;Austria;3557;WEF Air transport infrastructure, 1-7 (best);Rank;32;33
AUT;Austria;3558;WEF Ground and port infrastructure, 1-7 (best);Value;5.416071071;5.246621699
AUT;Austria;3559;WEF Ground and port infrastructure, 1-7 (best);Rank;15;12
AUT;Austria;3560;WEF Tourist service infrastructure pillar, 1-7 (best);Value;6.827936759;6.671623505
AUT;Austria;3561;WEF Tourist service infrastructure pillar, 1-7 (best);Rank;1;1
AUT;Austria;3562;WEF Natural resources pillar, 1-7 (best);Value;4.069863071;4.114909789
AUT;Austria;3563;WEF Natural resources pillar, 1-7 (best);Rank;28;29
AUT;Austria;3564;WEF Cultural resources and business travel, 1-7 (best);Value;2.923066215;3.064843552
AUT;Austria;3565;WEF Cultural resources and business travel, 1-7 (best);Rank;30;29
AZE;Azerbaijan;3524;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Value;3.479472507;3.700868177
AZE;Azerbaijan;3525;WEF Travel & Tourism Competitiveness Index, 1-7 (best);Rank;84;71
AZE;Azerbaijan;3526;WEF Enabling environment subindex, 1-7 (best);Value;5.133081084;5.302531944
AZE;Azerbaijan;3527;WEF Enabling environment subindex, 1-7 (best);Rank;45;38
AZE;Azerbaijan;3528;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Value;3.909491574;4.292932015
AZE;Azerbaijan;3529;WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best);Rank;93;66
AZE;Azerbaijan;3530;WEF Infrastructure subindex, 1-7 (best);Value;3.094037093;3.156440522
AZE;Azerbaijan;3531;WEF Infrastructure subindex, 1-7 (best);Rank;87;77
AZE;Azerbaijan;3532;WEF Natural and cultural resources subindex, 1-7 (best);Value;1.781280277;2.051568229
AZE;Azerbaijan;3533;WEF Natural and cultural resources subindex, 1-7 (best);Rank;118;100
AZE;Azerbaijan;3534;WEF Business environment, 1-7 (best);Value;4.447500952;4.569692804
AZE;Azerbaijan;3535;WEF Business environment, 1-7 (best);Rank;65;57
AZE;Azerbaijan;3536;WEF Safety and security pillar, 1-7 (best);Value;5.831973733;
AZE;Azerbaijan;3537;WEF Safety and security pillar, 1-7 (best);Rank;36;
AZE;Azerbaijan;3538;WEF Health and hygiene, 1-7 (best);Value;5.964306752;6.086975033
AZE;Azerbaijan;3539;WEF Health and hygiene, 1-7 (best);Rank;44;37
AZE;Azerbaijan;3540;WEF Human resources and labour market, 1-7 (best);Value;4.838337088;5.039257701
AZE;Azerbaijan;3541;WEF Human resources and labour market, 1-7 (best);Rank;36;30
AZE;Azerbaijan;3546;WEF Travel and Tourism ICT readiness, 1-7 (best);Value;4.583286894;4.969461189
AZE;Azerbaijan;3547;WEF Travel and Tourism ICT readiness, 1-7 (best);Rank;52;50
AZE;Azerbaijan;3548;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Value;4.693118497;4.800236846
AZE;Azerbaijan;3549;WEF Government Prioritization of Travel & Tourism, 1-7 (best);Rank;58;49
AZE;Azerbaijan;3550;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Value;2.327585194;2.947585194
AZE;Azerbaijan;3551;WEF International Openness and Travel Facilitation pillar,  1-7 (best);Rank;107;77
AZE;Azerbaijan;3552;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Value;4.784041583;5.378321128
AZE;Azerbaijan;3553;WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best);Rank;65;31
AZE;Azerbaijan;3554;WEF Environmental sustainability, 1-7 (best);Value;3.833221023;4.045584891
AZE;Azerbaijan;3555;WEF Environmental sustainability, 1-7 (best);Rank;94;81
AZE;Azerbaijan;3556;WEF Air transport infrastructure, 1-7 (best);Value;2.428351124;2.434584939
AZE;Azerbaijan;3557;WEF Air transport infrastructure, 1-7 (best);Rank;84;77
